time,omega1_faulty
0,0
0.1,-0.015262
0.2,-0.0026494
0.3,-0.0053989
0.4,-0.00061441
0.5,-0.009712
0.6,-0.0060717
0.7,-0.005079
0.8,-0.010533
0.9,-0.017072
1,-0.015714
1.1,-0.010391
1.2,-0.01599
1.3,-0.017932
1.4,-0.010028
1.5,-0.024867
1.6,-0.02857
1.7,-0.018418
1.8,-0.014986
1.9,-0.032021
2,-0.023947
2.1,-0.035593
2.2,-0.031276
2.3,-0.034494
2.4,-0.029628
2.5,-0.044688
2.6,-0.041186
2.7,-0.045884
2.8,-0.033507
2.9,-0.038774
3,-0.045363
3.1,-0.043095
3.2,-0.040406
3.3,-0.043381
3.4,-0.050695
3.5,-0.062343
3.6,-0.057436
3.7,-0.040242
3.8,-0.043481
3.9,-0.059674
4,-0.063213
4.1,-0.059926
4.2,-0.058657
4.3,-0.069329
4.4,-0.07363
4.5,-0.064485
4.6,-0.065108
4.7,-0.067081
4.8,-0.070096
4.9,-0.067955
5,-0.078746
5.1,-0.074308
5.2,-0.077705
5.3,-0.079701
5.4,-0.080619
5.5,-0.082392
5.6,-0.079795
5.7,-0.084187
5.8,-0.072863
5.9,-0.078018
6,-0.082167
6.1,-0.087509
6.2,-0.080004
6.3,-0.089679
6.4,-0.089661
6.5,-0.096815
6.6,-0.099632
6.7,-0.099601
6.8,-0.10515
6.9,-0.10147
7,-0.097555
7.1,-0.096915
7.2,-0.096859
7.3,-0.10597
7.4,-0.10357
7.5,-0.11282
7.6,-0.11247
7.7,-0.11513
7.8,-0.11729
7.9,-0.11275
8,-0.1195
8.1,-0.11571
8.2,-0.12275
8.3,-0.11957
8.4,-0.12198
8.5,-0.11611
8.6,-0.11762
8.7,-0.12245
8.8,-0.11548
8.9,-0.12696
9,-0.1375
9.1,-0.13437
9.2,-0.13438
9.3,-0.1232
9.4,-0.13421
9.5,-0.13094
9.6,-0.13948
9.7,-0.13557
9.8,-0.13861
9.9,-0.13896
10,-0.1348
10.1,-0.13952
10.2,-0.13964
10.3,-0.13778
10.4,-0.13961
10.5,-0.14336
10.6,-0.13615
10.7,-0.12983
10.8,-0.14024
10.9,-0.13958
11,-0.13616
11.1,-0.14067
11.2,-0.14487
11.3,-0.13388
11.4,-0.13984
11.5,-0.1383
11.6,-0.14337
11.7,-0.14034
11.8,-0.1378
11.9,-0.14573
12,-0.14258
12.1,-0.13985
12.2,-0.14802
12.3,-0.14183
12.4,-0.14854
12.5,-0.14816
12.6,-0.14286
12.7,-0.13468
12.8,-0.14315
12.9,-0.13954
13,-0.14531
13.1,-0.15034
13.2,-0.13965
13.3,-0.15189
13.4,-0.14908
13.5,-0.14526
13.6,-0.14275
13.7,-0.14849
13.8,-0.14325
13.9,-0.13906
14,-0.13617
14.1,-0.13878
14.2,-0.11745
14.3,-0.12556
14.4,-0.13362
14.5,-0.13168
14.6,-0.12236
14.7,-0.12164
14.8,-0.11625
14.9,-0.13063
15,-0.11589
15.1,-0.1132
15.2,-0.11321
15.3,-0.11562
15.4,-0.10394
15.5,-0.10096
15.6,-0.10135
15.7,-0.09872
15.8,-0.099029
15.9,-0.093171
16,-0.093605
16.1,-0.095009
16.2,-0.093991
16.3,-0.079067
16.4,-0.08778
16.5,-0.084063
16.6,-0.087208
16.7,-0.071562
16.8,-0.068898
16.9,-0.070305
17,-0.073013
17.1,-0.066696
17.2,-0.070449
17.3,-0.063647
17.4,-0.068583
17.5,-0.062865
17.6,-0.060748
17.7,-0.059196
17.8,-0.061156
17.9,-0.053556
18,-0.049607
18.1,-0.057078
18.2,-0.044039
18.3,-0.047225
18.4,-0.041586
18.5,-0.043155
18.6,-0.043592
18.7,-0.048526
18.8,-0.045156
18.9,-0.035905
19,-0.029623
19.1,-0.031158
19.2,-0.025877
19.3,-0.024426
19.4,-0.019312
19.5,-0.026134
19.6,-0.024478
19.7,-0.0093892
19.8,-0.019824
19.9,-0.017551
20,-0.010021
20.1,-0.0168
20.2,-0.016736
20.3,-0.013519
20.4,-0.0041874
20.5,-0.0062974
20.6,-0.010345
20.7,0.0044681
20.8,-0.0035096
20.9,0.0027448
21,-7.19E-05
21.1,-0.0014276
21.2,0.0003534
21.3,-0.0010361
21.4,-0.001775
21.5,0.0059702
21.6,0.0011613
21.7,0.0034863
21.8,0.003288
21.9,0.0046082
22,0.011096
22.1,0.0065457
22.2,0.0059663
22.3,0.0088595
22.4,0.016106
22.5,0.010079
22.6,0.019736
22.7,0.013268
22.8,0.021595
22.9,0.012591
23,0.0047907
23.1,0.0095476
23.2,0.017796
23.3,0.019107
23.4,0.009565
23.5,0.020608
23.6,0.015625
23.7,0.016449
23.8,0.017073
23.9,0.028301
24,0.019539
24.1,0.022385
24.2,0.018494
24.3,0.017351
24.4,0.015283
24.5,0.016432
24.6,0.031423
24.7,0.031612
24.8,0.021624
24.9,0.021678
25,0.034654
25.1,0.028828
25.2,0.03963
25.3,0.029742
25.4,0.032791
25.5,0.027863
25.6,0.027063
25.7,0.031025
25.8,0.028152
25.9,0.029836
26,0.040496
26.1,0.037786
26.2,0.038126
26.3,0.0329
26.4,0.038651
26.5,0.03419
26.6,0.043133
26.7,0.049459
26.8,0.043839
26.9,0.054387
27,0.039493
27.1,0.040448
27.2,0.042799
27.3,0.049887
27.4,0.046131
27.5,0.047128
27.6,0.050635
27.7,0.050252
27.8,0.055488
27.9,0.054107
28,0.050822
28.1,0.045319
28.2,0.046624
28.3,0.033165
28.4,0.054087
28.5,0.042673
28.6,0.045164
28.7,0.039321
28.8,0.039695
28.9,0.045012
29,0.041134
29.1,0.040947
29.2,0.043915
29.3,0.040146
29.4,0.037781
29.5,0.043079
29.6,0.033983
29.7,0.039463
29.8,0.038156
29.9,0.03743
30,0.036603
30.1,0.040485
30.2,0.033709
30.3,0.034943
30.4,0.033465
30.5,0.02696
30.6,0.029915
30.7,0.024004
30.8,0.035369
30.9,0.034021
31,0.036662
31.1,0.023209
31.2,0.025123
31.3,0.024404
31.4,0.026066
31.5,0.027132
31.6,0.028966
31.7,0.027433
31.8,0.024639
31.9,0.025294
32,0.026655
32.1,0.02023
32.2,0.018484
32.3,0.024942
32.4,0.031039
32.5,0.014348
32.6,0.022059
32.7,0.02343
32.8,0.0177
32.9,0.019896
33,0.023201
33.1,0.0084533
33.2,0.020117
33.3,0.023974
33.4,0.010622
33.5,0.011974
33.6,0.0106
33.7,0.0060298
33.8,0.00159
33.9,0.0070675
34,0.0039976
34.1,0.0044019
34.2,0.0070233
34.3,0.0038001
34.4,-0.0024675
34.5,-0.009661
34.6,-0.0023638
34.7,-0.011321
34.8,-0.00065013
34.9,-0.007261
35,-0.0084639
35.1,-0.0034461
35.2,-0.0059253
35.3,-0.0039624
35.4,0.0016787
35.5,-0.01276
35.6,-0.012971
35.7,-0.01759
35.8,-0.022348
35.9,-0.01018
36,-0.017225
36.1,-0.021393
36.2,-0.016788
36.3,-0.019239
36.4,-0.029906
36.5,-0.01202
36.6,-0.019553
36.7,-0.01695
36.8,-0.024457
36.9,-0.02869
37,-0.022168
37.1,-0.032328
37.2,-0.025272
37.3,-0.020787
37.4,-0.029051
37.5,-0.016702
37.6,-0.033313
37.7,-0.032588
37.8,-0.020644
37.9,-0.025464
38,-0.027671
38.1,-0.010731
38.2,-0.02223
38.3,-0.016723
38.4,-0.019502
38.5,-0.01959
38.6,-0.01003
38.7,-0.026189
38.8,-0.01928
38.9,-0.0017833
39,-0.018259
39.1,-0.011748
39.2,-0.01715
39.3,-0.0039877
39.4,-0.0084794
39.5,-0.011513
39.6,-0.022742
39.7,0.004966
39.8,-0.016568
39.9,-0.001414
40,0.00066154
40.1,-0.015873
40.2,-0.012384
40.3,-0.013613
40.4,-0.00025717
40.5,-0.0048896
40.6,-0.0063555
40.7,-0.0070791
40.8,-0.0033891
40.9,0.00083714
41,0.005931
41.1,-0.015113
41.2,0.00047433
41.3,-0.0083057
41.4,-0.008514
41.5,0.00566
41.6,0.0021955
41.7,-0.00033891
41.8,-0.00495
41.9,0.0055878
42,-0.0044999
42.1,-0.0055619
42.2,-0.015303
42.3,-5.34E-05
42.4,-0.0049581
42.5,0.0077193
42.6,0.0021329
42.7,-0.00060472
42.8,-0.0010753
42.9,0.0020643
43,0.00017153
43.1,-0.0029861
43.2,-0.0039192
